"Qty";"Value";"Device";"Package";"Parts";"Description";"PARTNO";
"1";"";"ANTENNA-U-FL";"4P-U-FL";"ANT1";"";"";
"1";"";"ARDUINO'W/O-SILK'";"ARDUINO-W/O-SILK";"U3";"";"";
"1";"";"AUDIO-8P'PJ-3536-L6S'";"8P-3.5-SMD";"J2";"";"";
"1";"";"HEADER-2X4P-2.54";"2X4P-2.54";"J4";"";"";
"1";"";"HEADER-6P-65/35MIL";"6P-2.54-65/35MIL";"J3";"";"";
"1";"";"HEADER_1X6";"CK_1X6";"J13";"";"";
"1";"";"HOLDER-BAT";"SMD-CR1220-2";"J1";"button cell holder";"";
"2";"";"PAD-MARK";"ROUND-MARK-1.0";"P2, P3";"";"DNP";
"1";"";"PAD-SOLDERJUMPERNC";"2P-SMD-3.3X2";"JP";"Solder Jumper";"";
"7";"";"PAD-TEST-POINT-CIRCLE'4545'";"TP_4545";"CLK, CS, D/C, DATA, T_4.1V, T_5V, T_EXT";"";"DNP";
"1";"0R";"R-0603";"R0603";"R10";"";"";
"1";"100R";"R-0603";"R0603";"R22";"";"";
"1";"100k";"R-0603";"R0603";"R4";"";"";
"1";"100n";"C-0603";"C0603";"C20";"Ceramic Capacitors";"";
"3";"100nF";"C-0603";"C0603";"C21, C23, C24";"Ceramic Capacitors";"";
"2";"100nF ";"C-0603";"C0603";"C5, C9";"Ceramic Capacitors";"";
"1";"10k 1%";"R-0603";"R0603";"R5";"";"";
"1";"10uF";"C-0805";"C0805";"C22";"Ceramic Capacitors";"";
"1";"10uF ";"C-0805";"C0805";"C4";"Ceramic Capacitors";"";
"1";"10uH";"L'0630'";"L0630";"L2";"";"";
"3";"120R 500mA";"L'0603'";"L0603";"L1, L3, L4";"";"";
"1";"16V 220uF";"CAP-ELECTRO-D";"ELECTRO-SMD-D-5.6MM";"C2";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";
"2";"1M";"R-0603";"R0603";"R23, R24";"";"";
"1";"1k";"R-0603";"R0603";"R1";"";"";
"2";"2.2u";"C-0805";"C0805";"C7, C8";"Ceramic Capacitors";"";
"3";"22R";"R-0603";"R0603";"R17, R18, R19";"";"";
"1";"24k 1%";"R-0603";"R0603";"R6";"";"";
"5";"39pF";"C-0603";"C0603";"C12, C16, C17, C18, C19";"Ceramic Capacitors";"";
"3";"4.7k";"R-0603";"R0603";"R3, R13, R14";"";"";
"1";"4.7k";"R-4R-1206";"1206-8-3.3X2.4";"R8";"Resistor Array";"";
"1";"4.7u";"C-0805";"C0805";"C6";"Ceramic Capacitors";"";
"2";"470R";"R-0603";"R0603";"R20, R21";"";"";
"1";"470uF";"CAP-AVX-D";"AVX-D";"C3";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";
"3";"47k";"R-0603";"R0603";"R2, R15, R16";"";"";
"1";"68R";"R-0603";"R0603";"R12";"";"";
"3";"8.2pF";"C-0603";"C0603";"C13, C14, C15";"Ceramic Capacitors";"";
"3";"9013";"TRANSISTOR-NPN-SOT23";"SOT23";"Q1, Q3, Q4";"NPN audion";"";
"2";"BSN20";"MOSFET-N'SOT23'";"SOT23";"Q6, Q7";"IRLL014:";"";
"1";"BUTTON-4P-REINFORCE'TS-118E'";"BUTTON-4P-REINFORCE'TS-118E'";"4P-SMD-7X3.5X3.5H";"POWER";"TS-1188E";"";
"3";"CESD5V0D1";"D-ESD";"SOD123-2.7X1.6";"D5, D6, D7";"Diodes for Protectiong against ESD";"";
"1";"CK_2X3_DD";"CK_2X3_DD";"CK_2X3";"J7";"";"";
"3";"DNP";"C-0603";"C0603";"C1, C10, C11";"Ceramic Capacitors";"";
"1";"DNP";"R-0603";"R0603";"R11";"";"";
"1";"JP";"JP";"JP";"P1";"";"";
"1";"LOGO-TOP-10MM";"LOGO-TOP-10MM";"C-000";"U$11";"";"";
"1";"LOGO-TOP-30MM";"LOGO-TOP-30MM";"C-1";"U$23";"";"";
"1";"MBR0520";"D'MBR0520LT1'";"SOD123-2.7X1.6";"D4";"";"";
"1";"OSHWLOGO_GOLD_ORB_SM";"OSHWLOGO_GOLD_ORB_SM";"OSHW2";"GOLD_ORB_SM1";"These are Open-Source Hardware logos.";"";
"1";"SI2305DS";"MOSFET-P'SI2323CDS/SI2305DS<BR>'";"SOT23";"Q5";"";"";
"1";"SIM900";"SIM900";"SIM900";"U2";"";"";
"1";"SIMHOLDER3";"SIMHOLDER3";"SIMHOLDER3";"SIMHOLDER";"";"";
"1";"SPEAKER_HETPRO";"SPEAKER_HETPRO";"SPK_SMD";"U$4";"";"";
"3";"SS54";"D'MBRS240LT3'";"SMB";"D1, D2, D8";"";"";
"1";"TD1410";"TD1410";"SOP8";"U1";"2A 380KHz 20V PWM Buck DC/DC Converter";"";
"1";"green";"007-LED0603";"D0603";"PWR";"";"";
"1";"green";"LED'0603'";"LED-0603";"D3/NET";"";"";
"1";"red";"LED'0603'";"LED-0603";"D2/STA";"";"";
